    #,       tth,  Seconds,  Monitor, Detector,     dead,       i1,       i2,       i3,       i4,   normlz,    Foils,     TEMP,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,    ICRxT,    OCRxT,     ROI1,     ROI2,     ROI3,     ROI4,  keith_I,  keith_V,    CTEMP,    Timer,  tempsec,     pd17,     pd18, agi34410,  agidaq1,  agidaq2,  agidaq3,  agidaq4,   CTEMPB
    0,         5,   1.0000,  0.14925,        0,        0,    4e-05,  0.00032,        0,        0,        0,        0,        0,  3296451,       15,      162,       17,       17,       17,       17,       17,       17,       17,       17,       17,       17,       17,       17,       17,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
    1,      5.75,   1.0000,  0.14946,        0,        0,    4e-05,   0.0003,        0,        0,        0,        0,        0,  3340013,       14,      147,        8,        8,        8,        8,        8,        8,        8,        8,        8,        8,        8,        8,        8,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
    2,       6.5,   1.0000,  0.14967,        0,        0,    2e-05,  0.00032,        0,        0,        0,        0,        0,  3382504,       14,      136,       18,       18,       18,       18,       18,       18,       18,       18,       18,       18,       18,       18,       18,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
    3,      7.25,   1.0000,  0.15079,        0,        0,    5e-05,  0.00033,        0,        0,        0,        0,        0,  3560909,       20,      126,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
    4,         8,   1.0000,  0.15097,        0,        0,    4e-05,  0.00033,        0,        0,        0,        0,        0,  4123091,       12,      133,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
    5,      8.75,   1.0000,   0.1512,        0,        0,    4e-05,  0.00032,        0,        0,        0,        0,        0,  4413322,       26,      153,        9,        9,        9,        9,        9,        9,        9,        9,        9,        9,        9,        9,        9,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
    6,       9.5,   1.0000,  0.15118,        0,        0,    2e-05,  0.00032,        0,        0,        0,        0,        0,  4633028,       14,      124,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
    7,     10.25,   1.0000,  0.15114,        0,        0,    1e-05,  0.00034,        0,        0,        0,        0,        0,  5885691,       16,      166,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
    8,        11,   1.0000,  0.15098,        0,        0,        0,  0.00032,        0,        0,        0,        0,        0,  7357539,       11,      153,       14,       14,       14,       14,       14,       14,       14,       14,       14,       14,       14,       14,       14,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
    9,     11.75,   1.0000,  0.15153,        0,        0,    1e-05,  0.00033,        0,        0,        0,        0,        0,  8395334,       15,      171,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   10,      12.5,   1.0000,  0.15089,        0,        0,    2e-05,  0.00035,        0,        0,        0,        0,        0,  6233129,        7,      128,       15,       15,       15,       15,       15,       15,       15,       15,       15,       15,       15,       15,       15,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   11,     13.25,   1.0000,  0.15156,        0,        0,    2e-05,  0.00038,        0,        0,        0,        0,        0,  3861731,       11,      135,       27,       27,       27,       27,       27,       27,       27,       27,       27,       27,       27,       27,       27,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   12,        14,   1.0000,  0.15086,        0,        0,        0,  0.00038,        0,        0,        0,        0,        0,  3593699,       11,      120,       14,       14,       14,       14,       14,       14,       14,       14,       14,       14,       14,       14,       14,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   13,     14.75,   1.0000,  0.15069,        0,        0,    1e-05,  0.00037,        0,        0,        0,        0,        0,  4436248,        7,      124,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   14,      15.5,   1.0000,  0.15112,        0,        0,    1e-05,  0.00036,        0,        0,        0,        0,        0,  6062915,        6,      125,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        5,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   15,     16.25,   1.0000,   0.1514,        0,        0,    2e-05,  0.00039,        0,        0,        0,        0,        0, 11965931,       11,      115,        6,        6,        6,        6,        6,        6,        6,        6,        6,        6,        6,        6,        6,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   16,        17,   1.0000,  0.15144,        0,        0,        0,  0.00037,        0,        0,        0,        0,        0, 14140980,       11,      103,        9,        9,        9,        9,        9,        9,        9,        9,        9,        9,        9,        9,        9,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   17,     17.75,   1.0000,  0.15135,        0,        0,    3e-05,  0.00037,        0,        0,        0,        0,        0, 11012605,        9,       90,       17,       17,       17,       17,       17,       17,       17,       17,       17,       17,       17,       17,       17,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   18,      18.5,   1.0000,  0.15202,        0,        0,    1e-05,  0.00037,        0,        0,        0,        0,        0,  2584188,        5,       90,        9,        9,        9,        9,        9,        9,        9,        9,        9,        9,        9,        9,        9,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   19,     19.25,   1.0000,  0.15223,        0,        0,    3e-05,  0.00039,        0,        0,        0,        0,        0,  3207964,        4,       73,       10,       10,       10,       10,       10,       10,       10,       10,       10,       10,       10,       10,       10,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   20,        20,   1.0000,  0.15196,        0,        0,    1e-05,  0.00037,        0,        0,        0,        0,        0,  6943838,        3,       74,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
