# == pyFAI calibration ==
# Distance Sample to Detector: 0.89794922811261 m
# PONI: -1.720e+00, 1.057e-01 m
# Rotations: -0.449497 1.514190 -0.000006 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 17622.025 mm
# Center: x=3132.929, y=92289.532 pix
# Tilt: 87.079 deg  TiltPlanRot: 88.590 deg
# 
# Detector Pilatus 300kw	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 8.856e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> b_toney_lab6_th3_scan1_0025.xy
#       2th_deg             I 
  2.418691e+01    7.809607e+01
  2.418775e+01    8.297964e+01
  2.418860e+01    8.279734e+01
  2.418944e+01    7.906886e+01
  2.419028e+01    7.504740e+01
  2.419112e+01    7.256644e+01
  2.419196e+01    6.993909e+01
  2.419281e+01    7.067834e+01
  2.419365e+01    6.984031e+01
  2.419449e+01    6.741782e+01
  2.419533e+01    6.683279e+01
  2.419617e+01    6.976102e+01
  2.419702e+01    6.913995e+01
  2.419786e+01    6.696702e+01
  2.419870e+01    6.442850e+01
  2.419954e+01    6.434812e+01
  2.420038e+01    6.472070e+01
  2.420123e+01    6.447223e+01
  2.420207e+01    6.481400e+01
  2.420291e+01    6.533609e+01
  2.420375e+01    6.539291e+01
  2.420459e+01    6.607687e+01
  2.420544e+01    6.704267e+01
  2.420628e+01    6.721064e+01
  2.420712e+01    6.557123e+01
  2.420796e+01    6.469244e+01
  2.420880e+01    6.414898e+01
  2.420965e+01    6.419778e+01
  2.421049e+01    6.408869e+01
  2.421133e+01    6.412799e+01
  2.421217e+01    6.444878e+01
  2.421301e+01    6.515903e+01
  2.421386e+01    6.455559e+01
  2.421470e+01    6.342413e+01
  2.421554e+01    6.230304e+01
  2.421638e+01    6.285399e+01
  2.421722e+01    6.418922e+01
  2.421807e+01    6.389344e+01
  2.421891e+01    6.410630e+01
  2.421975e+01    6.433118e+01
  2.422059e+01    6.523302e+01
  2.422143e+01    6.435347e+01
  2.422228e+01    6.423302e+01
  2.422312e+01    6.323587e+01
  2.422396e+01    6.375399e+01
  2.422480e+01    6.346122e+01
  2.422564e+01    6.337833e+01
  2.422649e+01    6.284119e+01
  2.422733e+01    6.306747e+01
  2.422817e+01    6.371513e+01
  2.422901e+01    6.396294e+01
  2.422985e+01    6.382738e+01
  2.423070e+01    6.442945e+01
  2.423154e+01    6.508295e+01
  2.423238e+01    6.600453e+01
  2.423322e+01    6.622389e+01
  2.423406e+01    6.519111e+01
  2.423491e+01    6.370256e+01
  2.423575e+01    6.221231e+01
  2.423659e+01    6.242883e+01
