    #,        th,       tth,  Seconds,  Monitor, Detector,     dead,       i1,       i2,       i3,       i4,   normlz,    Foils,     TEMP,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,    ICRxT,    OCRxT,     ROI1,     ROI2,     ROI3,     ROI4,  keith_I,  keith_V,    CTEMP,    Timer,  tempsec,     pd17,     pd18, agi34410,  agidaq1,  agidaq2,  agidaq3,  agidaq4,   CTEMPB
    0,       2.5,         5,   1.0000,  0.14932,        0,        0,        0,  0.00033,        0,        0,        0,        0,        0,  3399344,       10,      155,       17,       17,       17,       17,       17,       17,       17,       17,       17,       17,       17,       17,       17,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
    1,      2.84,      5.68,   1.0000,  0.15018,        0,        0,        0,  0.00034,        0,        0,        0,        0,        0,  3287422,       13,      121,       22,       22,       22,       22,       22,       22,       22,       22,       22,       22,       22,       22,       22,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
    2,      3.18,      6.36,   1.0000,  0.15025,        0,        0,        0,  0.00033,        0,        0,        0,        0,        0,  3289878,       22,      163,      144,      144,      144,      144,      144,      144,      144,      144,      144,      144,      144,      144,      144,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
    3,      3.52,      7.04,   1.0000,  0.15067,        0,        0,        0,  0.00033,        0,        0,        0,        0,        0,  3658117,       13,      152,       19,       19,       19,       19,       19,       19,       19,       19,       19,       19,       19,       19,       19,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
    4,      3.86,      7.72,   1.0000,  0.15061,        0,        0,        0,  0.00034,        0,        0,        0,        0,        0,  3678032,       13,      127,       10,       10,       10,       10,       10,       10,       10,       10,       10,       10,       10,       10,       10,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
    5,       4.2,       8.4,   1.0000,  0.15076,        0,        0,        0,  0.00033,        0,        0,        0,        0,        0,  3749031,       13,      130,       13,       13,       13,       13,       13,       13,       13,       13,       13,       13,       13,       13,       13,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
    6,      4.54,      9.08,   1.0000,  0.15068,        0,        0,        0,  0.00034,        0,        0,        0,        0,        0,  4894884,        7,      130,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
    7,      4.88,      9.76,   1.0000,  0.15006,        0,        0,        0,  0.00033,        0,        0,        0,        0,        0,  3894657,       13,      131,       13,       13,       13,       13,       13,       13,       13,       13,       13,       13,       13,       13,       13,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
    8,      5.22,     10.44,   1.0000,  0.14972,        0,        0,        0,  0.00034,        0,        0,        0,        0,        0,  4692361,        8,      122,        9,        9,        9,        9,        9,        9,        9,        9,        9,        9,        9,        9,        9,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
    9,      5.56,     11.12,   1.0000,  0.15075,        0,        0,        0,  0.00034,        0,        0,        0,        0,        0,  5613216,       10,      127,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
