# == pyFAI calibration ==
# Distance Sample to Detector: 0.7940650855747703 m
# PONI: 2.315e+00, -4.375e-01 m
# Rotations: -0.203527 -0.493645 0.000022 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 920.724 mm
# Center: x=-1590.751, y=10923.912 pix
# Tilt: 30.409 deg  TiltPlanRot: -69.412 deg
# 
# Detector Pilatus 300kw	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 8.856e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> b_toney_lab6_th3_scan1_0048.xy
#       2th_deg             I 
  4.120658e+01    1.846893e+02
  4.120695e+01    1.875325e+02
  4.120732e+01    1.885225e+02
  4.120769e+01    1.859595e+02
  4.120806e+01    1.740303e+02
  4.120843e+01    1.664279e+02
  4.120880e+01    1.633642e+02
  4.120917e+01    1.601289e+02
  4.120954e+01    1.655935e+02
  4.120991e+01    1.672671e+02
  4.121028e+01    1.643690e+02
  4.121065e+01    1.584599e+02
  4.121102e+01    1.523331e+02
  4.121139e+01    1.497559e+02
  4.121176e+01    1.458852e+02
  4.121213e+01    1.430833e+02
  4.121250e+01    1.425524e+02
  4.121287e+01    1.424809e+02
  4.121324e+01    1.475126e+02
  4.121361e+01    1.486325e+02
  4.121398e+01    1.524296e+02
  4.121435e+01    1.551975e+02
  4.121472e+01    1.534510e+02
  4.121509e+01    1.548571e+02
  4.121546e+01    1.555755e+02
  4.121583e+01    1.547892e+02
  4.121620e+01    1.520064e+02
  4.121657e+01    1.467820e+02
  4.121694e+01    1.426340e+02
  4.121731e+01    1.440965e+02
  4.121768e+01    1.428647e+02
  4.121805e+01    1.419729e+02
  4.121842e+01    1.425545e+02
  4.121879e+01    1.396378e+02
  4.121916e+01    1.377231e+02
  4.121953e+01    1.379567e+02
  4.121990e+01    1.378952e+02
  4.122027e+01    1.405789e+02
  4.122064e+01    1.407254e+02
  4.122101e+01    1.415376e+02
  4.122138e+01    1.397742e+02
  4.122175e+01    1.400410e+02
  4.122212e+01    1.417724e+02
  4.122249e+01    1.406317e+02
  4.122286e+01    1.409481e+02
  4.122323e+01    1.399832e+02
  4.122360e+01    1.388510e+02
