# == pyFAI calibration ==
# Distance Sample to Detector: 0.9084140734515469 m
# PONI: 1.891e-01, 2.398e-01 m
# Rotations: 0.085177 0.004888 0.000005 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 911.730 mm
# Center: x=943.315, y=1125.594 pix
# Tilt: 4.888 deg  TiltPlanRot: 176.711 deg
# 
# Detector Pilatus 300kw	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 8.856e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> b_toney_lab6_th3_scan1_0008.xy
#       2th_deg             I 
  9.967115e+00    1.741458e+01
  9.972288e+00    1.723024e+01
  9.977461e+00    1.591038e+01
  9.982634e+00    1.493799e+01
  9.987807e+00    1.410555e+01
  9.992980e+00    1.427221e+01
  9.998153e+00    1.454390e+01
  1.000333e+01    1.424997e+01
  1.000850e+01    1.400414e+01
  1.001367e+01    1.371503e+01
  1.001884e+01    1.354280e+01
  1.002402e+01    1.342000e+01
  1.002919e+01    1.347827e+01
  1.003436e+01    1.378538e+01
  1.003954e+01    1.360107e+01
  1.004471e+01    1.340460e+01
  1.004988e+01    1.344977e+01
  1.005506e+01    1.355309e+01
  1.006023e+01    1.331141e+01
  1.006540e+01    1.319314e+01
  1.007057e+01    1.307979e+01
  1.007575e+01    1.310308e+01
  1.008092e+01    1.317022e+01
  1.008609e+01    1.333014e+01
  1.009127e+01    1.345189e+01
  1.009644e+01    1.327886e+01
  1.010161e+01    1.320509e+01
  1.010678e+01    1.329694e+01
  1.011196e+01    1.312957e+01
  1.011713e+01    1.307357e+01
  1.012230e+01    1.313000e+01
  1.012748e+01    1.309024e+01
  1.013265e+01    1.326116e+01
  1.013782e+01    1.357096e+01
  1.014300e+01    1.346311e+01
  1.014817e+01    1.335657e+01
  1.015334e+01    1.327006e+01
  1.015851e+01    1.316993e+01
  1.016369e+01    1.309626e+01
  1.016886e+01    1.299516e+01
  1.017403e+01    1.294606e+01
  1.017921e+01    1.313330e+01
  1.018438e+01    1.314665e+01
  1.018955e+01    1.305193e+01
  1.019473e+01    1.340101e+01
  1.019990e+01    1.359639e+01
  1.020507e+01    1.350084e+01
  1.021024e+01    1.342962e+01
  1.021542e+01    1.352109e+01
  1.022059e+01    1.347592e+01
  1.022576e+01    1.348956e+01
  1.023094e+01    1.352742e+01
  1.023611e+01    1.353612e+01
  1.024128e+01    1.348657e+01
  1.024645e+01    1.357081e+01
  1.025163e+01    1.366911e+01
  1.025680e+01    1.355103e+01
  1.026197e+01    1.345026e+01
  1.026715e+01    1.337334e+01
  1.027232e+01    1.334505e+01
  1.027749e+01    1.327642e+01
  1.028267e+01    1.313732e+01
  1.028784e+01    1.299019e+01
  1.029301e+01    1.296560e+01
  1.029818e+01    1.303445e+01
  1.030336e+01    1.310532e+01
  1.030853e+01    1.315612e+01
  1.031370e+01    1.327592e+01
  1.031888e+01    1.336127e+01
  1.032405e+01    1.324238e+01
  1.032922e+01    1.301057e+01
  1.033439e+01    1.297927e+01
  1.033957e+01    1.315206e+01
  1.034474e+01    1.303985e+01
  1.034991e+01    1.299410e+01
  1.035509e+01    1.305997e+01
  1.036026e+01    1.311339e+01
