# == pyFAI calibration ==
# Distance Sample to Detector: 0.9185303427416458 m
# PONI: 1.916e+00, 3.346e-01 m
# Rotations: 0.091722 -0.638530 -0.000021 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 1148.741 mm
# Center: x=1453.987, y=7156.945 pix
# Tilt: 36.908 deg  TiltPlanRot: -97.035 deg
# 
# Detector Pilatus 300kw	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 8.856e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> b_toney_lab6_th3_scan1_0029.xy
#       2th_deg             I 
  2.720597e+01    8.445964e+01
  2.720664e+01    8.751223e+01
  2.720731e+01    8.636378e+01
  2.720798e+01    8.135504e+01
  2.720865e+01    7.525314e+01
  2.720932e+01    7.624224e+01
  2.720999e+01    7.500958e+01
  2.721066e+01    7.494456e+01
  2.721133e+01    7.232588e+01
  2.721200e+01    7.134110e+01
  2.721267e+01    7.070125e+01
  2.721334e+01    6.855365e+01
  2.721401e+01    7.016582e+01
  2.721468e+01    7.121160e+01
  2.721535e+01    7.277457e+01
  2.721603e+01    7.131059e+01
  2.721670e+01    6.963295e+01
  2.721737e+01    6.842769e+01
  2.721804e+01    6.891410e+01
  2.721871e+01    6.932352e+01
  2.721938e+01    7.022565e+01
  2.722005e+01    7.052084e+01
  2.722072e+01    6.911285e+01
  2.722139e+01    6.842896e+01
  2.722206e+01    6.717018e+01
  2.722273e+01    6.666965e+01
  2.722340e+01    6.714111e+01
  2.722407e+01    6.669405e+01
  2.722474e+01    6.800256e+01
  2.722541e+01    6.720828e+01
  2.722608e+01    6.715172e+01
  2.722676e+01    6.540718e+01
  2.722743e+01    6.449234e+01
  2.722810e+01    6.425916e+01
  2.722877e+01    6.563718e+01
  2.722944e+01    6.606625e+01
  2.723011e+01    6.644288e+01
  2.723078e+01    6.641576e+01
  2.723145e+01    6.657381e+01
  2.723212e+01    6.731944e+01
  2.723279e+01    6.802921e+01
  2.723346e+01    6.828902e+01
  2.723413e+01    6.839698e+01
  2.723480e+01    6.862675e+01
  2.723547e+01    6.894380e+01
  2.723614e+01    6.729878e+01
  2.723682e+01    6.631365e+01
  2.723749e+01    6.583528e+01
  2.723816e+01    6.658030e+01
  2.723883e+01    6.684807e+01
  2.723950e+01    6.739310e+01
  2.724017e+01    6.777092e+01
  2.724084e+01    6.735651e+01
  2.724151e+01    6.838963e+01
  2.724218e+01    6.808545e+01
  2.724285e+01    6.789417e+01
  2.724352e+01    6.696451e+01
  2.724419e+01    6.653024e+01
  2.724486e+01    6.737378e+01
  2.724553e+01    6.785253e+01
  2.724620e+01    6.774169e+01
  2.724687e+01    6.847089e+01
  2.724755e+01    6.809194e+01
  2.724822e+01    6.722916e+01
  2.724889e+01    6.633618e+01
  2.724956e+01    6.597116e+01
  2.725023e+01    6.601277e+01
  2.725090e+01    6.651124e+01
  2.725157e+01    6.671700e+01
  2.725224e+01    6.717795e+01
  2.725291e+01    6.665515e+01
  2.725358e+01    6.672819e+01
  2.725425e+01    6.664003e+01
  2.725492e+01    6.672501e+01
  2.725559e+01    6.591126e+01
  2.725626e+01    6.617001e+01
  2.725693e+01    6.544013e+01
  2.725760e+01    6.626293e+01
  2.725828e+01    6.655109e+01
  2.725895e+01    6.686893e+01
  2.725962e+01    6.668372e+01
  2.726029e+01    6.604396e+01
  2.726096e+01    6.573308e+01
  2.726163e+01    6.476774e+01
  2.726230e+01    6.486761e+01
  2.726297e+01    6.462227e+01
  2.726364e+01    6.494383e+01
  2.726431e+01    6.485253e+01
